NO,구분,주요 변경 필드,v44 정보,v45 정보,상세 변경 내용
69,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1200,<=1300] | KEYS:[EL_PA103A03_2=C101P013441]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1100,<=1200, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013440]","CON10: [>1200,<=1300] -> [>1100,<=1200] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013441] -> [C101P013440]"
70,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1300,<=1400] | KEYS:[EL_PA103A03_2=C101P013442]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1200,<=1300, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013441]","CON10: [>1300,<=1400] -> [>1200,<=1300] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013442] -> [C101P013441]"
71,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1400,<=1500] | KEYS:[EL_PA103A03_2=C101P013443]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1300,<=1400, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013442]","CON10: [>1400,<=1500] -> [>1300,<=1400] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013443] -> [C101P013442]"
72,수정(MODIFIED),"SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, SPEC7, CON7, SPEC8, CON8, SPEC9, CON9, SPEC10, CON10, SPEC11, CON11, KEY1, VAL1, REMARKS","GOTO:PICK3 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1400,<=1500, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013443]","SPEC3: [] -> [EL_DREUSE] | CON3: [] -> [Y] | SPEC4: [] -> [EL_ECWTP] | CON4: [] -> [!R] | SPEC5: [] -> [EL_EMFD] | CON5: [] -> [,SL,SR] | SPEC6: [] -> [EL_ERPW] | CON6: [] -> [3] | SPEC7: [] -> [EL_ETM] | CON7: [] -> [,?GH15S?,?GH25S?] | SPEC8: [] -> [EL_ACAPA] | CON8: [] -> [>=450,<=1200] | SPEC9: [] -> [EL_ASPD] | CON9: [] -> [>=60,<=105] | SPEC10: [] -> [EL_EPP] | CON10: [] -> [>1400,<=1500] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [C101P013443] | REMARKS: [] -> [K10310416G05]"
73,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, GOTO",,"GOTO:PICK3 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01]",SPEC1: [] -> [EL_ABRAND] | CON1: [] -> [NEX_MR] | SPEC2: [] -> [EL_ASPSCD] | CON2: [] -> [KC01] | GOTO: [] -> [PICK3]
74,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, KEY1, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G010A]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD] -> [] | SPEC3: [EL_DREUSE] -> [] | CON3: [N] -> [] | SPEC4: [EL_ECWTP] -> [] | CON4: [R] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10310416G010A] -> []"
75,수정(MODIFIED),"CON2, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=,GH25A,GH25B,GH25E,GH25SA,GH25SB, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G020A]","SPECS:[EL_ATYP=GTLX, EL_ETM=,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G010A]","CON2: [,GH25A,GH25B,GH25E,GH25SA,GH25SB] -> [,GH15A,GH15B,GH25C,GH25D,GH15SA,GH15SB,GH25SC,GH25SD] | VAL1: [10310416G020A] -> [10310416G010A]"
76,수정(MODIFIED),"CON2, CON3, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G030A]","SPECS:[EL_ATYP=GTLX, EL_ETM=,GH25A,GH25B,GH25E,GH25SA,GH25SB, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G020A]","CON2: [,?GH15?,?GH25?,?GH15S?,?GH25S?] -> [,GH25A,GH25B,GH25E,GH25SA,GH25SB] | CON3: [Y] -> [N] | VAL1: [10310416G030A] -> [10310416G020A]"
77,수정(MODIFIED),"CON4, SPEC5, CON5","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10310416G030A]","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10310416G030A]",CON4: [!R] -> [R] | SPEC5: [EL_EMFD] -> [] | CON5: [90] -> []
78,수정(MODIFIED),"CON5, SPEC6, CON6, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4] | KEYS:[EL_PA103A03_2=10310416G040A]","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10310416G030A]","CON5: [,SL,SR] -> [90] | SPEC6: [EL_ERPW] -> [] | CON6: [,2,4] -> [] | VAL1: [10310416G040A] -> [10310416G030A]"
79,수정(MODIFIED),"CON6, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3] | KEYS:[EL_PA103A03_2=10310416G050A]","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4] | KEYS:[EL_PA103A03_2=10310416G040A]","CON6: [3] -> [,2,4] | VAL1: [10310416G050A] -> [10310416G040A]"
80,수정(MODIFIED),"CON2, CON3, CON4, SPEC5, CON5, SPEC6, CON6, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=?GH31?, EL_DREUSE=None, EL_ECWTP=None] | KEYS:[EL_PA103A03_2=10310538G0100]","SPECS:[EL_ATYP=GTLX, EL_ETM=,?GH15?,?GH25?,?GH15S?,?GH25S?, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3] | KEYS:[EL_PA103A03_2=10310416G050A]","CON2: [?GH31?] -> [,?GH15?,?GH25?,?GH15S?,?GH25S?] | CON3: [] -> [Y] | CON4: [] -> [!R] | SPEC5: [] -> [EL_EMFD] | CON5: [] -> [,SL,SR] | SPEC6: [] -> [EL_ERPW] | CON6: [] -> [3] | VAL1: [10310538G0100] -> [10310416G050A]"
81,수정(MODIFIED),"CON2, VAL1","SPECS:[EL_ATYP=GTLX, EL_ETM=?GH35?, EL_DREUSE=None, EL_ECWTP=None] | KEYS:[EL_PA103A03_2=10310918G0100]","SPECS:[EL_ATYP=GTLX, EL_ETM=?GH31?, EL_DREUSE=None, EL_ECWTP=None] | KEYS:[EL_PA103A03_2=10310538G0100]",CON2: [?GH35?] -> [?GH31?] | VAL1: [10310918G0100] -> [10310538G0100]
82,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, SPEC4, KEY1, VAL1",,"SPECS:[EL_ATYP=GTLX, EL_ETM=?GH35?, EL_DREUSE=None, EL_ECWTP=None] | KEYS:[EL_PA103A03_2=10310918G0100]",SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [?GH35?] | SPEC3: [] -> [EL_DREUSE] | SPEC4: [] -> [EL_ECWTP] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10310918G0100]
83,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, SPEC4, CON4, KEY1, VAL1","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>=550,<=650] | KEYS:[EL_PA103A03_2=10310801G0100]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [?GH13?] -> [] | SPEC3: [EL_DREUSE] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=650] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10310801G0100] -> []"
84,수정(MODIFIED),"CON4, VAL1","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>650,<=900] | KEYS:[EL_PA103A03_2=10310801G0200]","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>=550,<=650] | KEYS:[EL_PA103A03_2=10310801G0100]","CON4: [>650,<=900] -> [>=550,<=650] | VAL1: [10310801G0200] -> [10310801G0100]"
85,수정(MODIFIED),"CON4, VAL1","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>900,<=1500] | KEYS:[EL_PA103A03_2=10310801G0300]","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>650,<=900] | KEYS:[EL_PA103A03_2=10310801G0200]","CON4: [>900,<=1500] -> [>650,<=900] | VAL1: [10310801G0300] -> [10310801G0200]"
86,수정(MODIFIED),"CON2, CON4, VAL1","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH18?, EL_DREUSE=None, EL_EPP=>=550,<=1500] | KEYS:[EL_PA103A03_2=10310802G0100]","SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH13?, EL_DREUSE=None, EL_EPP=>900,<=1500] | KEYS:[EL_PA103A03_2=10310801G0300]","CON2: [?GH18?] -> [?GH13?] | CON4: [>=550,<=1500] -> [>900,<=1500] | VAL1: [10310802G0100] -> [10310801G0300]"
87,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, SPEC4, CON4, KEY1, VAL1",,"SPECS:[EL_ATYP=GTLX_E, EL_ETM=?GH18?, EL_DREUSE=None, EL_EPP=>=550,<=1500] | KEYS:[EL_PA103A03_2=10310802G0100]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [?GH18?] | SPEC3: [] -> [EL_DREUSE] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>=550,<=1500] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10310802G0100]"
88,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, KEY1, VAL1, REMARKS","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>=550,<=700, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0100]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [2] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [N] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G0100] -> [] | REMARKS: [신규 후락/횡락 전체] -> []"
89,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>700,<=900, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0200]","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>=550,<=700, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0100]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G0200] -> [10311684G0100]"
90,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>900,<=1250, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0300]","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>700,<=900, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0200]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G0300] -> [10311684G0200]"
91,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>1250,<=1500, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0400]","REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>900,<=1250, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0300]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G0400] -> [10311684G0300]"
92,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, KEY1, VAL1, REMARKS",,"REMARKS:신규 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>1250,<=1500, EL_DREUSE=N] | KEYS:[EL_PA103A03_2=10311684G0400]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [2] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [N] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G0400] | REMARKS: [] -> [신규 후락/횡락 전체]"
93,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, KEY1, VAL1, REMARKS","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>=550,<=700, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0500]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [2] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [Y] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G0500] -> [] | REMARKS: [교체 후락/횡락 전체] -> []"
94,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>700,<=900, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0600]","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>=550,<=700, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0500]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G0600] -> [10311684G0500]"
95,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>900,<=1250, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0700]","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>700,<=900, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0600]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G0700] -> [10311684G0600]"
96,수정(MODIFIED),"CON4, VAL1","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>1250,<=1500, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0800]","REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>900,<=1250, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0700]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G0800] -> [10311684G0700]"
97,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, KEY1, VAL1, REMARKS",,"REMARKS:교체 후락/횡락 전체 | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=2, EL_EPP=>1250,<=1500, EL_DREUSE=Y] | KEYS:[EL_PA103A03_2=10311684G0800]","SPEC1: [] -> [EL_ATYP] | CON1: [] -> [GTLX_E] | SPEC2: [] -> [EL_ETM] | CON2: [] -> [GH15SA] | SPEC3: [] -> [EL_ERPW] | CON3: [] -> [2] | SPEC4: [] -> [EL_EPP] | CON4: [] -> [>1250,<=1500] | SPEC5: [] -> [EL_DREUSE] | CON5: [] -> [Y] | KEY1: [] -> [EL_PA103A03_2] | VAL1: [] -> [10311684G0800] | REMARKS: [] -> [교체 후락/횡락 전체]"
98,수정(MODIFIED),"SPEC1, CON1, SPEC2, CON2, SPEC3, CON3, SPEC4, CON4, SPEC5, CON5, SPEC6, CON6, KEY1, VAL1, REMARKS","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G0900]",,"SPEC1: [EL_ATYP] -> [] | CON1: [GTLX_E] -> [] | SPEC2: [EL_ETM] -> [] | CON2: [GH15SA] -> [] | SPEC3: [EL_ERPW] -> [] | CON3: [3] -> [] | SPEC4: [EL_EPP] -> [] | CON4: [>=550,<=700] -> [] | SPEC5: [EL_DREUSE] -> [] | CON5: [N] -> [] | SPEC6: [EL_ECWTP] -> [] | CON6: [R] -> [] | KEY1: [EL_PA103A03_2] -> [] | VAL1: [10311684G0900] -> [] | REMARKS: [신규 후락/신규 횡락(LH)] -> []"
99,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1000]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G0900]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1000] -> [10311684G0900]"
100,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1100]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1000]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1100] -> [10311684G1000]"
101,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1200]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1100]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G1200] -> [10311684G1100]"
102,수정(MODIFIED),"CON4, CON6, SPEC7, CON7, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G0900]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=R] | KEYS:[EL_PA103A03_2=10311684G1200]","CON4: [>=550,<=700] -> [>1250,<=1500] | CON6: [!R] -> [R] | SPEC7: [EL_EMFD] -> [] | CON7: [90] -> [] | VAL1: [10311684G0900] -> [10311684G1200]"
103,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1000]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G0900]","CON4: [>700,<=900] -> [>=550,<=700] | VAL1: [10311684G1000] -> [10311684G0900]"
104,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1100]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>700,<=900, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1000]","CON4: [>900,<=1250] -> [>700,<=900] | VAL1: [10311684G1100] -> [10311684G1000]"
105,수정(MODIFIED),"CON4, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1200]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>900,<=1250, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1100]","CON4: [>1250,<=1500] -> [>900,<=1250] | VAL1: [10311684G1200] -> [10311684G1100]"
106,수정(MODIFIED),"CON4, CON7, VAL1","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>=550,<=700, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=SL] | KEYS:[EL_PA103A03_2=10311684G0900]","REMARKS:신규 후락/신규 횡락(LH) | SPECS:[EL_ATYP=GTLX_E, EL_ETM=GH15SA, EL_ERPW=3, EL_EPP=>1250,<=1500, EL_DREUSE=N, EL_ECWTP=!R, EL_EMFD=90] | KEYS:[EL_PA103A03_2=10311684G1200]","CON4: [>=550,<=700] -> [>1250,<=1500] | CON7: [SL] -> [90] | VAL1: [10311684G0900] -> [10311684G1200]"
