NO,구분,주요 변경 필드,v44 정보,v45 정보,상세 변경 내용
59,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1200,<=1300] | KEYS:[EL_PA103A03_2=C101P013436]","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1100,<=1200, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013435]","CON10: [>1200,<=1300] -> [>1100,<=1200] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013436] -> [C101P013435]"
60,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1300,<=1400] | KEYS:[EL_PA103A03_2=C101P013437]","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1200,<=1300, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013436]","CON10: [>1300,<=1400] -> [>1200,<=1300] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013437] -> [C101P013436]"
61,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1400,<=1500] | KEYS:[EL_PA103A03_2=C101P013438]","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1300,<=1400, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013437]","CON10: [>1400,<=1500] -> [>1300,<=1400] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013438] -> [C101P013437]"
62,수정(MODIFIED),"CON6, CON10, SPEC11, CON11, VAL1, REMARKS","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>=500,<=600] | KEYS:[EL_PA103A03_2=C101P013424]","GOTO:PICK3 | REMARKS:K10310416G04 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=,2,4, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1400,<=1500, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013438]","CON6: [3] -> [,2,4] | CON10: [>=500,<=600] -> [>1400,<=1500] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013424] -> [C101P013438] | REMARKS: [K10310416G05] -> [K10310416G04]"
63,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>600,<=700] | KEYS:[EL_PA103A03_2=C101P013425]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>=500,<=600, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013424]","CON10: [>600,<=700] -> [>=500,<=600] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013425] -> [C101P013424]"
64,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>700,<=800] | KEYS:[EL_PA103A03_2=C101P013426]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>600,<=700, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013425]","CON10: [>700,<=800] -> [>600,<=700] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013426] -> [C101P013425]"
65,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>800,<=900] | KEYS:[EL_PA103A03_2=C101P013427]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>700,<=800, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013426]","CON10: [>800,<=900] -> [>700,<=800] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013427] -> [C101P013426]"
66,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>900,<=1000] | KEYS:[EL_PA103A03_2=C101P013428]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>800,<=900, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013427]","CON10: [>900,<=1000] -> [>800,<=900] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013428] -> [C101P013427]"
67,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1000,<=1100] | KEYS:[EL_PA103A03_2=C101P013439]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>900,<=1000, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013428]","CON10: [>1000,<=1100] -> [>900,<=1000] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013439] -> [C101P013428]"
68,수정(MODIFIED),"CON10, SPEC11, CON11, VAL1","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1100,<=1200] | KEYS:[EL_PA103A03_2=C101P013440]","GOTO:PICK3 | REMARKS:K10310416G05 | SPECS:[EL_ABRAND=NEX_MR, EL_ASPSCD=KC01, EL_DREUSE=Y, EL_ECWTP=!R, EL_EMFD=,SL,SR, EL_ERPW=3, EL_ETM=,?GH15S?,?GH25S?, EL_ACAPA=>=450,<=1200, EL_ASPD=>=60,<=105, EL_EPP=>1000,<=1100, NG550_CS=N] | KEYS:[EL_PA103A03_2=C101P013439]","CON10: [>1100,<=1200] -> [>1000,<=1100] | SPEC11: [] -> [NG550_CS] | CON11: [] -> [N] | VAL1: [C101P013440] -> [C101P013439]"
