VERSION,HOUID,DOUID,NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,PID,REG_DATE,USERID,REG_USER_NAME
44,1264930,67917051,114,,EL_BWALLT,?T19?,EL_AOPEN,2SL,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G09{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917052,115,,EL_BWALLT,?T19?,EL_AOPEN,2SL,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G11{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917053,116,,EL_BWALLT,T30_SD1,EL_AOPEN,2SL,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G08{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917054,117,,EL_BWALLT,T30_SD1,EL_AOPEN,2SL,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G10{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917055,118,,EL_BWALLT,T30_SD1,EL_AOPEN,2SL,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G12{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917056,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917057,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917058,121,2SLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917059,122,RIGHT,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G01{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,"2SLR 경우, RIGHT측 COLUMN",,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917060,123,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G03{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
