VERSION,HOUID,DOUID,NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,PID,REG_DATE,USERID,REG_USER_NAME
44,1264930,67917061,124,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G05{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917062,125,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G02{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917063,126,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G04{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917064,127,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400111G06{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917065,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917066,129,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G01{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917067,130,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G03{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917068,131,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G05{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917069,132,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G02{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917070,133,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G04{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917071,134,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400112G06{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917072,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917073,136,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G01{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917074,137,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G03{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917075,138,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G05{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917076,139,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G02{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917077,140,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G04{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917078,141,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_1,32400113G06{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917079,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917080,143,LEFT,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G07{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,"2SLR 경우, LEFT측 COLUMN",,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917081,144,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G09{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917082,145,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G11{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917083,146,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G08{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917084,147,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G10{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917085,148,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400111G12{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917086,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917087,150,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G07{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917088,151,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G09{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917089,152,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G11{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917090,153,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G08{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917091,154,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G10{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917092,155,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400112G12{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917093,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917094,157,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400113G07{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917095,158,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400113G09{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917096,159,,EL_BWALLT,?T19?,EL_AOPEN,2SLR,EL_ECHH,,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400113G11{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917097,160,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,2500,EL_BFTH,4,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400113G08{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
44,1264930,67917098,161,,EL_BWALLT,T30_SD1,EL_AOPEN,2SLR,EL_ECHH,2100,EL_ECCH,,EL_BFTH,,MATERIAL_T,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PE324A_2,32400113G10{MATERIAL_CODE},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,,,,,,,,,,,,,,,,,,,,,,EL_PE324A,,,
