HOGI,MOD_DATE,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BRAND,GISONG,SPEED,CAPA,PLANT,ETHRU,CWT_SAFETY,CWT_BALANCE,CAR_BB,CAR_AA,MATERIAL
E15901L01,20260618,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,LUXEN_2,WBLX1_(LXVF),60,550,KR00,,N,50,1055,1590,CONCRETE (시멘트)
213177L01,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,NEWYZER,GTSS_R,90,1350,KR00,,N,50,1755,1860,CONCRETE (시멘트)
N28754L08,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L11,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L18,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L21,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L27,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L28,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L02,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
N28754L04,20260721,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEX_MR,GTLX,90,1000,KR00,,N,50,1655,1660,CONCRETE (시멘트)
E15864L13,20260819,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",0,-,LUXEN_2,WBLX1_(LXVF),90,1800,KR00,,N,50,1970,2100,CONCRETE (시멘트)
211903L19,20260910,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",7,-,NEWYZER,GTSS_R,60,1000,KR00,Y,GSB240DK,50,1710,1760,CONCRETE (시멘트)
N28819L03,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
212441L02,20260811,12011121G020A,BALANCE WEIGHT,"CONCRETE,10kg",19,-,NEWYZER,WBSS2_(SSVF),120,1600,KR00,,N,50,1870,2160,CONCRETE (시멘트)
209889L27,20260821,121C0218G0100,BALANCE WEIGHT,CONCRETE,3,-,NEWYZER,WBSS2_(SSVF),60,1150,KR00,,N,50,1575,1860,CONCRETE (시멘트)
209889L27,20260821,12000284G0100,BALANCE WEIGHT,CONCRETE,2,-,NEWYZER,WBSS2_(SSVF),60,1150,KR00,,N,50,1575,1860,CONCRETE (시멘트)
N29256L01,20260827,12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg",6,-,NEX_MR,GTLX,60,1350,KR00,,N,50,1855,1860,CONCRETE (시멘트)
N29383L01,20260826,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",0,-,NEX_MR,GTLX,60,450,KC01,,N,50,1005,1450,CONCRETE (시멘트)
N29293L01,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29293L02,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29293L04,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29293L07,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29293L08,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
N29293L09,20260914,C12011121G010A,BALANCE WEIGHT,"CONCRETE,10kg,G/S",7,-,NEX_MR,GTLX,105,1000,KC01,,N,50,1655,1650,CONCRETE (시멘트)
