NO,ADDR,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20,GOTO,REMARKS
24,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,EL_ATYP,GTLX_R,EL_ETM,GETM3.5H,EL_ACAPA,1200,EL_ASPD,120,EL_ERPD,10,,,EL_ERPR,2:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,C101P013255,,,TM_MODEL,GETM3.5H,BRAKE_MODEL,DZD1-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,C10100257G11
25,,EL_ABRAND,LUXEN_2,EL_ASPSCD,KC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GY35AU,EL_ACAPA,<=1134,EL_ASPD,<=60,EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/L,R/L",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G010A,,,TM_MODEL,,BRAKE_MODEL,RSR-600K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
28,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GY35BU,EL_ACAPA,<=1134,EL_ASPD,",90,105",EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/L,R/L",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G020A,,,TM_MODEL,,BRAKE_MODEL,RSR-600K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
29,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GU35A,EL_ACAPA,<=1588,EL_ASPD,<=60,EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/L,R/L",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G030A,,,TM_MODEL,,BRAKE_MODEL,RSR-600L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
30,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GU35B,EL_ACAPA,<=1588,EL_ASPD,",90,105",EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/L,R/L",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G040A,,,TM_MODEL,,BRAKE_MODEL,RSR-600L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
31,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GY35AU,EL_ACAPA,<=1134,EL_ASPD,<=60,EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/R,R/R",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G050A,,,TM_MODEL,,BRAKE_MODEL,RSR-600K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
32,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GY35BU,EL_ACAPA,<=1134,EL_ASPD,",90,105",EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/R,R/R",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G060A,,,TM_MODEL,,BRAKE_MODEL,RSR-600K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
33,,EL_ATYP,WBSS_US,EL_ACD2,?ASME?,EL_ETM,GU35A,EL_ACAPA,<=1588,EL_ASPD,<=60,EL_ERPD,6,EL_ERPW,<=12,EL_ERPR,2:1,EL_ECWTP,",F/R,R/R",EL_ASEZO,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EL_PA101A,10110766G070A,,,TM_MODEL,,BRAKE_MODEL,RSR-600L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOP,
