PARENTNO,PROD_STATUS,PROD_MODDATE,BRAND,GISONG,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,SPEC,PART_QTY,CMT,BLOCKNO
E15864L12,RLS,2026-08-19,LUXEN_2,WBLX1_(LXVF),90,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L01,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209587L07,RLS,2026-08-21,IXEL,WBHS_(HSVF),240,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L08,RLS,2026-01-26,LUXEN_2,WBLX1_(LXVF),180,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L18,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
205559L01,WIP,2026-03-30,IXEL,WBHS_(HSVF),180,1800,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
210537L16,RLS,2026-07-15,IXEL,WBHS_(HSVF),210,1000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
207839L06,RLS,2026-01-09,IXEL,WBHS_(HSVF),240,1800,미지정,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211411L15,RLS,2026-09-03,LUXEN_2,WBLX1_(LXVF),180,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
212179L01,RLS,2026-01-05,LUXEN_2,WBLX1_(LXVF),60,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209141L08,RLS,2026-07-01,IXEL,WBHS_(HSVF),210,1600,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208887L06,RLS,2026-04-28,IXEL,WBHS_(HSVF),150,1800,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
209582L07,RLS,2026-05-20,IXEL,WBHS_(HSVF),240,1350,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
211383L91,RLS,2026-09-02,LUXEN_2,WBLX1_(LXVF),105,2000,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L18,RLS,2026-01-12,IXEL,WBHS_(HSVF),210,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
208895L13,RLS,2026-02-06,LUXEN_2,WBLX1_(LXVF),180,1200,KR00,10100602G0700,SWITCH ASSY,"GX35/GX50/GX70/GX160,GT160S/GT350/GT500",1,,A101A19
