PID,VERSION,NO,ADDR,GOTO,SPEC1,CON1,SPEC2,CON2,KEY1,VAL1,KEY2,VAL2,REMARKS
CAL_NEXBRAND_CMT,129,150,-,-,EL_ABRAND,?NEX?,EL_BCL,CDS54_1,L_CMT,- DOWN LIGHT 수량 5EA -> 8EA 로 변경 (주석부표기 : 생산팀 요청),NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,151,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,152,-,-,EL_AUSE,PI,EL_BCL,CDS14_1,L_CMT,- WORKING DWG. : 32114094 적용할 것.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",HOME ELEVATOR 전산화
CAL_NEXBRAND_CMT,129,153,-,-,EL_AUSE,PI,EL_BCL,CDS54_1,L_CMT,- WORKING DWG. : 32114050 적용할 것.,NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,154,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,155,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,156,#,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_ASPSCD,KC01,L_CMT,"*V0004612 적용 하되, 하기 내용 따를 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,157,#,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_ASPSCD,KC01,L_CMT,"- (1) ISOLATION ASSY 는 32111882G1000 (TAP PLATE=354mm) 변경 적용.
  (KE =[$ {K4} $], KF=[$ {K4} + 20 $]로 변경 적용.)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,158,#,-,EL_ABRAND,",NEX_MR,NEX_MRL",EL_ASPSCD,KC01,L_CMT,"- (1) ISOLATION ASSY 는 32111882G1000 (TAP PLATE=354mm) 변경 적용.
  (KE = 15, KF=35, 2-D10x40 SLOTS -> 2-D10x20 SLOTS로 변경 적용.)",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,159,#,NEXT_2,EL_ABRAND,",NEX_MR,NEX_MRL",EL_ASPSCD,KC01,L_CMT,"- (2) CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=180으로 적용 제작할 것.
- (3) CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 높이 60mm 적용 제작할 것.
- (4) 32112235 FAN HOLE COVER는 중앙부 따냄 미적용할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,160,-,-,-,-,-,-,-,-,-,-,-
CAL_NEXBRAND_CMT,129,161,-,-,EL_ABRAND,NEX_MR,EL_ASPSCD,!KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=140 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,162,-,-,EL_ABRAND,NEX_MR,EL_ASPSCD,KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=220 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 02162
CAL_NEXBRAND_CMT,129,163,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,!KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=140 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,164,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=220 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 02162
CAL_NEXBRAND_CMT,129,165,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,!KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=220, [B2]=140 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",-
CAL_NEXBRAND_CMT,129,166,-,-,EL_ABRAND,NEX_MRL,EL_ASPSCD,KC01,L_CMT,"- CELING PLATE 도면 상 DETAIL OF 'B"" 측면 따냄 치수 [B1]=[B2]=220 으로 적용 제작할 것.",NEXBRAND_CMT,"{NEXBRAND_CMT}{L_CMT}
",작업요청 02162
