PID,VERSION,HOUID,NO,ADDR,GOTO,REMARKS,SPEC1,CON1,SPEC2,CON2,SPEC3,CON3,SPEC4,CON4,SPEC5,CON5,SPEC6,CON6,SPEC7,CON7,SPEC8,CON8,SPEC9,CON9,SPEC10,CON10,SPEC11,CON11,SPEC12,CON12,SPEC13,CON13,SPEC14,CON14,SPEC15,CON15,SPEC16,CON16,SPEC17,CON17,SPEC18,CON18,SPEC19,CON19,SPEC20,CON20,SPEC21,CON21,SPEC22,CON22,SPEC23,CON23,SPEC24,CON24,SPEC25,CON25,SPEC26,CON26,SPEC27,CON27,SPEC28,CON28,SPEC29,CON29,SPEC30,CON30,KEY1,VAL1,KEY2,VAL2,KEY3,VAL3,KEY4,VAL4,KEY5,VAL5,KEY6,VAL6,KEY7,VAL7,KEY8,VAL8,KEY9,VAL9,KEY10,VAL10,KEY11,VAL11,KEY12,VAL12,KEY13,VAL13,KEY14,VAL14,KEY15,VAL15,KEY16,VAL16,KEY17,VAL17,KEY18,VAL18,KEY19,VAL19,KEY20,VAL20
B181A01,28,1298442,12,-,CMT,-,PICK,EL_PB181A01_2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,QTY,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,14,CMT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,15,-,-,M1C_0729,PICK,EL_PB181A01_1,EL_ETM,GT30T,EL_ECWW,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- DWG. 181C051G90L90. [1SET]
- LA=168, LB=49, LC=100, LD=91, LE=160, LF=20, LG= 70",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,16,-,-,-,PICK,EL_PB181A01_1,EL_ETM,GT30T,EL_ECWW,",220,250",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- DWG. 181C051G90L90. [1SET]
- LA=218, LB=74, LC=100, LD=91, LE=160, LF=20, LG= 70",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,17,-,-,-,PICK,EL_PB181A01_1,EL_ETM,GT30T,EL_ECWW,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- DWG. 181C051G90L90. [1SET]
- LA=118, LB=24, LC=100, LD=91, LE=160, LF=20, LG= 70",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,18,-,-,"- t9 SS400 PLATE 1EA 제작하되, 상세 치수는 _____ 문구 제외_23.07.11 박현수M",PICK,EL_PB181A01_1,EL_DCWFRM,",Y,?E?",EL_DCWFRW,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- DWG. 181C051G90L90. [___SET]
- PLATE 가로 길이는 ____으로 지정.
- LA=, LB=, LC=, LD=, LE=, LF=, LG= .",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,19,-,-,-,PICK,EL_PB181A01_1,EL_DCWFRM,",Y,?E?",EL_DCWFRW,!N,EL_DCWFRW,<90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- DWG. 181C051G90L90. [___SET]
- PLATE 가로 길이는 ____으로 지정.
- LA=, LB=, LC=, LD=, LE=, LF=, LG= .",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,20,-,-,"수배율 향상_박현수M, LA 최소값 120_요청 01715",PICK,EL_PB181A01_1,EL_DCWFRM,",Y,?E?",EL_DCWFRW,!N,EL_DCWFRW,>=90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- PLATE 가로 길이는 250으로 지정.
- LA=[$ max({EL_DCWFRW} + 20 , 120) $], LB=[$ max(({EL_DCWFRW}+20-65)/2 , 27.5) $], LE=200, LF=25, LG=65.",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,22,-,-,M1C_0827,PICK,EL_PB181A01_2,EL_DCWFRW,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- [RA]= , [RB]= , [RC]= , [RD]= , [RE]= ",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,23,-,-,-,PICK,EL_PB181A01_2,EL_DCWFRW,",Y,?P?",EL_DCWFRW,<90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- [RA]= , [RB]= , [RC]= , [RD]= , [RE]= ",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B181A01,28,1298442,24,-,-,"수배율 향상_박현수M, RB 최소값 120_요청 01715",PICK,EL_PB181A01_2,EL_DCWFRW,",Y,?P?",EL_DCWFRW,>=90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,L_CMT,"- [RA]=250 , [RB]=[$ max({EL_DCWFRW} + 20 , 120) $], [RC]=200, [RD]=65, [RE]=12",CMT,"{CMT}{L_CMT}
",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
